year,type,count,calfCount,utmX,utmY
1989,BB,3.00,0.00,305680.51,7522142.61
1989,BB,4.00,0.00,309333.12,7522420.62
1989,OB,5.00,0.00,319178.77,7524155.63
1989,E,1.00,0.00,308710.14,7520330.83
1989,BB,2.00,0.00,311505.83,7519911.09
1989,BB,5.00,0.00,308730.01,7518725.20
1989,OB,1.00,0.00,308100.40,7518019.66
1989,BB,2.00,0.00,305738.54,7517524.98
1989,BB,2.00,0.00,309829.16,7516424.09
1989,BB,6.00,0.00,308559.69,7515024.01
1989,BB,2.00,0.00,304091.18,7512664.23
1989,BB,14.00,0.00,312871.16,7513459.99
1989,BB,2.00,0.00,314370.85,7513710.69
1989,BB,9.00,0.00,314376.32,7513256.69
1989,BB,8.00,0.00,314171.42,7512323.94
1989,BB,1.00,0.00,317584.42,7513516.49
1989,BB,2.00,0.00,319097.67,7512615.14
1989,OB,3.00,0.00,294706.48,7508621.15
1989,OB,1.00,0.00,294712.69,7508156.04
1989,OB,2.00,0.00,291730.35,7506498.81
1989,OB,5.00,0.00,292171.71,7505818.06
1989,BB,4.00,0.00,295157.04,7507242.65
1989,OB,1.00,0.00,296662.13,7507030.04
1989,OB,1.00,0.00,296662.13,7507030.04
1989,OB,12.00,0.00,296877.10,7506335.10
1989,OB,1.00,0.00,302218.80,7507789.22
1989,BB,1.00,0.00,311655.23,7507686.20
1989,BB,9.00,0.00,313143.18,7508856.15
1989,BB,2.00,0.00,320456.56,7506407.18
1989,BB,2.00,0.00,324071.42,7508752.44
1989,BB,2.00,0.00,308521.65,7500725.48
1989,BB,3.00,0.00,309795.58,7501660.58
1989,BB,3.00,0.00,314748.25,7500336.85
1989,BB,2.00,0.00,328263.95,7498190.84
1989,E,1.00,0.00,307648.04,7502320.46
1989,E,1.00,0.00,301076.49,7496698.76
1989,OB,1.00,0.00,298518.48,7495745.99
1989,OB,1.00,0.00,290383.76,7495869.27
1989,OB,2.00,0.00,291659.46,7496573.44
1989,BB,1.00,0.00,293569.41,7497529.73
1989,OB,1.00,0.00,293810.25,7495683.24
1989,OB,1.00,0.00,292982.04,7493822.30
1989,OB,7.00,0.00,291058.99,7493109.39
1989,OB,1.00,0.00,291953.01,7490119.87
1989,OB,1.00,0.00,294938.24,7491312.21
1989,OB,2.00,0.00,297279.33,7492273.88
1989,BB,4.00,0.00,290491.37,7488028.54
1989,BB,4.00,0.00,292612.92,7489209.51
1989,BB,6.00,0.00,294540.75,7488770.39
1989,OB,1.00,0.00,294360.20,7486918.21
1989,BB,5.00,0.00,295219.06,7486475.65
1989,BB,1.00,0.00,297356.00,7486504.23
1989,OB,1.00,0.00,297769.12,7487894.24
1989,OB,5.00,0.00,298682.98,7483287.60
1989,BB,1.00,0.00,300094.86,7489996.12
1989,BB,3.00,0.00,306907.92,7493317.92
1989,OB,2.00,0.00,304241.09,7484057.92
1989,OB,1.00,0.00,306741.73,7489395.09
1989,OB,4.00,0.00,311189.22,7492906.27
1989,BB,8.00,0.00,311581.01,7496145.06
1989,BB,6.00,0.00,312652.93,7495925.65
