FID;SP;NO;LAT;LONG;NAME
0;vl;2;-23.074999999999999;31.181200000000000;Shipandi
1;k;4;-23.058299999999999;31.168700000000001;Shipandi
2;w;1;-23.052099999999999;31.181200000000000;Shipandi
3;r;3;-23.058299999999999;31.181200000000000;Shipandi
4;k;3;-23.058299999999999;31.181200000000000;Shipandi
5;r;5;-23.062500000000000;31.181200000000000;Shipandi
6;r;1;-23.068800000000000;31.181200000000000;Shipandi
7;r;10;-23.079200000000000;31.187500000000000;Shipandi
8;k;4;-23.079200000000000;31.191700000000001;Shipandi
9;r;1;-23.125000000000000;31.197900000000001;Shipandi
10;k;3;-23.125000000000000;31.204200000000000;Shipandi
11;v;5;-23.114599999999999;31.204200000000000;Shipandi
12;b;3;-23.079200000000000;31.191700000000001;Shipandi
13;k;3;-23.079200000000000;31.191700000000001;Shipandi
14;r;5;-23.068800000000000;31.191700000000001;Shipandi
15;r;4;-23.058299999999999;31.187500000000000;Shipandi
16;r;1;-23.052099999999999;31.187500000000000;Shipandi
17;r;6;-23.047899999999998;31.181200000000000;Mambawule
18;k;5;-23.047899999999998;31.187500000000000;Mambawule
19;bs;1;-23.047899999999998;31.191700000000001;Mambawule
20;r;4;-23.052099999999999;31.191700000000001;Shipandi
21;r;1;-23.058299999999999;31.197900000000001;Shipandi
22;r;2;-23.062500000000000;31.197900000000001;Shipandi
23;s;7;-23.068800000000000;31.191700000000001;Shipandi
24;sk;2;-23.062500000000000;31.191700000000001;Shipandi
25;r;8;-23.068800000000000;31.197900000000001;Shipandi
26;k;1;-23.068800000000000;31.197900000000001;Shipandi
27;k;5;-23.068800000000000;31.197900000000001;Shipandi
28;r;7;-23.074999999999999;31.204200000000000;Shipandi
29;b;60;-23.074999999999999;31.204200000000000;Shipandi
30;ko;6;-23.079200000000000;31.204200000000000;Shipandi
31;bb;6;-23.102100000000000;31.210400000000000;Shipandi
32;r;1;-23.118800000000000;31.216699999999999;Shipandi
33;wa;1;-23.125000000000000;31.222899999999999;Shipandi
34;h;2;-23.131300000000000;31.229199999999999;Shipandi
35;r;21;-23.118800000000000;31.229199999999999;Shipandi
36;r;2;-23.114599999999999;31.229199999999999;Shipandi
37;r;17;-23.114599999999999;31.222899999999999;Shipandi
38;r;12;-23.074999999999999;31.216699999999999;Shipandi
39;r;11;-23.068800000000000;31.210400000000000;Mambawule
40;k;2;-23.068800000000000;31.210400000000000;Mambawule
41;kp;1;-23.062500000000000;31.210400000000000;Mambawule
42;r;1;-23.058299999999999;31.204200000000000;Mambawule
43;r;18;-23.058299999999999;31.204200000000000;Mambawule
44;e;14;-23.068800000000000;31.222899999999999;Mambawule
45;o;18;-23.079200000000000;31.222899999999999;Shipandi
46;r;4;-23.095800000000001;31.229199999999999;Shipandi
47;r;8;-23.118800000000000;31.239599999999999;Shipandi
48;v;1;-23.118800000000000;31.245799999999999;Shipandi
49;r;1;-23.114599999999999;31.252099999999999;Shipandi
50;ko;3;-23.108300000000000;31.252099999999999;Shipandi
51;k;2;-23.108300000000000;31.252099999999999;Shipandi
52;r;25;-23.102100000000000;31.252099999999999;Shipandi
53;r;12;-23.102100000000000;31.252099999999999;Shipandi
54;k;1;-23.095800000000001;31.245799999999999;Shipandi
55;k;6;-23.095800000000001;31.252099999999999;Shipandi
56;r;30;-23.095800000000001;31.245799999999999;Shipandi
57;k;3;-23.091699999999999;31.245799999999999;Shipandi
58;e;1;-23.085400000000000;31.245799999999999;Shipandi
59;kp;3;-23.079200000000000;31.239599999999999;Shipandi
60;k;4;-23.074999999999999;31.239599999999999;Shipandi
61;k;4;-23.068800000000000;31.239599999999999;Shipandi
62;k;4;-23.062500000000000;31.239599999999999;Mambawule
63;r;6;-23.068800000000000;31.239599999999999;Shipandi
64;kp;3;-23.074999999999999;31.245799999999999;Shipandi
65;k;2;-23.085400000000000;31.245799999999999;Shipandi
66;k;6;-23.091699999999999;31.252099999999999;Shipandi
67;r;35;-23.102100000000000;31.252099999999999;Shipandi
68;r;4;-23.108300000000000;31.258299999999998;Shipandi
69;kp;1;-23.074999999999999;31.252099999999999;Shipandi
70;ob;1;-23.068800000000000;31.252099999999999;Shipandi
71;o;5;-23.058299999999999;31.252099999999999;Mambawule
72;o;13;-23.062500000000000;31.252099999999999;Shipandi
73;o;24;-23.068800000000000;31.258299999999998;Shipandi
74;r;2;-23.079200000000000;31.258299999999998;Shipandi
75;r;12;-23.085400000000000;31.264600000000002;Shipandi
76;k;4;-23.091699999999999;31.270800000000001;Shipandi
77;k;1;-23.079200000000000;31.264600000000002;Shipandi
78;k;7;-23.068800000000000;31.264600000000002;Shipandi
79;r;10;-23.068800000000000;31.264600000000002;Shipandi
80;e;2;-23.062500000000000;31.264600000000002;Shipandi
81;k;2;-23.062500000000000;31.258299999999998;Shipandi
82;e;6;-23.058299999999999;31.258299999999998;Shipandi
83;k;2;-23.041699999999999;31.258299999999998;Mambawule
