long;lat;year;c4_biomass;c3_biomass;dead_grass_biomass;savanna_tree_cover;forest_tree_cover;tree_leaf_biomass;tree_stem_biomass;trees_per_ha
31.25;-24.25;1979;2.23266;1.34409;0.404158;0.0182539;0.981746;2.5788;42.9181;2508
31.75;-24.25;1979;2.52848;1.59572;0.494511;0.0171713;0.982829;1.94585;35.5377;2699
30.75;-25.25;1979;2.47862;1.95814;0.685626;0.00814344;0.507178;1.56593;13.7358;2680
31.75;-24.75;1979;2.3419;1.57662;0.64186;0.0183837;0.957883;2.91399;43.37;3132
30.75;-24.75;1979;3.02385;2.45925;0.863962;0.00790932;0.495765;1.41245;12.0402;2360
30.75;-24.25;1979;2.36679;1.69882;0.505304;0.027914;0.972086;3.29219;55.3783;2315
31.75;-23.25;1979;1.66853;1.18591;0.428448;0.0192234;0.734931;2.28933;23.3481;2392
32.25;-23.75;1979;2.59405;1.57208;0.622364;0.0137211;0.833858;2.19619;28.0653;2402
31.25;-23.75;1979;2.46138;1.47643;0.46632;0.0227293;0.977271;2.29584;36.5603;2565
31.25;-24.75;1979;2.77264;1.67622;0.555828;0.0141238;0.909386;2.61633;40.6931;2758
32.25;-23.25;1979;2.64586;1.63252;0.525444;0.0241351;0.888227;2.29393;28.17;2694
31.25;-22.25;1979;2.35647;1.4675;0.467461;0.030859;0.894534;1.72411;24.6257;2858
32.25;-24.75;1979;2.39667;1.50774;0.648019;0.0147058;0.979456;2.65563;46.7041;3239
31.25;-22.75;1979;2.7519;1.69209;0.469725;0.0373313;0.962669;2.20375;31.3013;3026
30.75;-22.75;1979;2.60372;1.72316;0.542682;0.0384287;0.961571;3.18918;49.3408;2952
31.25;-25.25;1979;2.68365;2.0343;0.731353;0.0318353;0.544748;2.54679;32.5364;3237
31.75;-25.25;1979;2.44799;1.64631;0.629957;0.0155998;0.9844;3.79295;52.7297;3396
32.25;-24.25;1979;2.21836;1.4171;0.472172;0.024424;0.931399;2.19159;34.9518;3601
32.25;-22.75;1979;4.23701;2.36175;0.776522;0.0263849;0.973615;3.27044;32.5978;3054
30.75;-21.75;1979;1.45502;1.02144;0.303944;0.0484193;0.916599;1.96713;28.04;3467
31.25;-21.75;1979;1.51738;1.12033;0.285118;0.0485245;0.951475;2.36103;35.4039;3688
30.75;-23.75;1979;2.94595;1.84347;0.658519;0.036073;0.963927;2.60287;47.2374;4657
30.75;-23.25;1979;2.17782;1.41982;0.478437;0.0363386;0.963661;2.61951;47.4524;5180
32.25;-21.75;1979;0.656;0.471588;0.177219;0.0411917;0.958808;2.81718;50.9424;5374
32.25;-22.25;1979;1.58298;0.819545;0.329867;0.021154;0.978846;3.09592;41.4367;3312
31.25;-23.25;1979;2.28833;1.42419;0.393562;0.0297932;0.970207;2.32248;37.0521;2904
31.75;-23.75;1979;2.42555;1.53559;0.514789;0.0204151;0.854672;2.04297;30.1228;2092
30.75;-22.25;1979;2.55797;1.60488;0.475157;0.0389003;0.957582;2.22849;29.2;3004
32.25;-25.25;1979;2.4347;1.66166;0.503796;0.0113209;0.988679;3.82061;56.4382;3249
31.75;-22.25;1979;2.22869;1.43189;0.454377;0.0316195;0.968381;2.35652;31.5025;2816
31.75;-21.75;1979;0.918663;0.836852;0.261434;0.030287;0.969713;3.42093;46.9689;4696
31.75;-22.75;1979;2.31596;1.43863;0.432702;0.0191165;0.886669;1.97446;25.7502;2737
31.25;-24.25;1980;2.90007;1.85861;0.678585;0.0182069;0.981793;2.5788;42.9272;3380
31.75;-24.25;1980;4.05715;2.49624;1.01157;0.0170434;0.982957;1.94585;35.6218;2745
30.75;-25.25;1980;3.22911;2.46928;0.973901;0.00812453;0.509497;1.56593;13.9847;2858
31.75;-24.75;1980;0.839352;0.657165;0.371002;0.0180929;0.958961;2.94863;44.1699;3146
30.75;-24.75;1980;3.14749;2.65629;0.827825;0.00787494;0.497139;1.41245;12.0402;2671
30.75;-24.25;1980;1.62449;1.29764;0.408856;0.02774;0.97226;3.29219;56.0372;2893
31.75;-23.25;1980;1.732;0.944167;0.591412;0.0192688;0.738088;2.28933;23.3481;3345
32.25;-23.75;1980;2.53017;1.69927;0.767562;0.0136638;0.837815;2.19619;28.272;2854
31.25;-23.75;1980;1.30119;1.01645;0.377508;0.0225303;0.97747;2.29584;37.5479;2813
31.25;-24.75;1980;3.25628;1.85092;0.82678;0.0140947;0.908947;2.6741;40.6976;3570
32.25;-23.25;1980;2.41534;1.71058;0.625491;0.0240658;0.893978;2.29393;28.4486;3270
31.25;-22.25;1980;1.47859;1.05685;0.379858;0.0307864;0.895775;1.72411;24.7983;3703
32.25;-24.75;1980;0.998965;0.684015;0.409996;0.0143997;0.979742;2.77961;46.7041;3509
31.25;-22.75;1980;2.12275;1.41758;0.540845;0.0371962;0.962804;2.20375;31.5027;3176
30.75;-22.75;1980;1.63169;1.30125;0.421038;0.0384949;0.961505;3.18918;49.3408;2953
31.25;-25.25;1980;3.52153;2.54708;1.05055;0.0319226;0.539905;2.54679;32.5364;3068
31.75;-25.25;1980;0.725682;0.630072;0.293573;0.0155187;0.984481;3.79295;53.3669;2979
32.25;-24.25;1980;3.90452;1.63435;1.21732;0.0243873;0.932064;2.19159;34.9744;3582
32.25;-22.75;1980;2.21994;1.75889;0.646527;0.0263478;0.973652;3.27044;32.5978;3672
30.75;-21.75;1980;1.51577;1.03797;0.382845;0.0479545;0.915716;1.96713;28.04;3844
31.25;-21.75;1980;1.02611;0.744306;0.264164;0.0483839;0.951616;2.36103;35.4039;4362
30.75;-23.75;1980;1.90518;1.36532;0.480043;0.0359923;0.964008;2.60287;47.3105;5421
30.75;-23.25;1980;1.83796;1.26944;0.421414;0.0361077;0.963892;2.61951;47.4524;5270
32.25;-21.75;1980;1.2705;0.797953;0.32018;0.0410105;0.958989;2.81718;50.9424;5860
32.25;-22.25;1980;1.57787;1.19728;0.350297;0.0210067;0.978993;3.09592;41.5136;3405
31.25;-23.25;1980;1.75791;1.02755;0.416875;0.029715;0.970285;2.32248;37.0521;3362
31.75;-23.75;1980;1.70485;1.25131;0.503719;0.0203242;0.856236;2.04297;30.4;2343
30.75;-22.25;1980;1.50705;1.03532;0.376297;0.0389598;0.957523;2.22849;29.2;3451
32.25;-25.25;1980;1.62781;1.28921;0.498337;0.0113153;0.988685;3.92164;57.9434;3010
31.75;-22.25;1980;1.04926;0.656116;0.326027;0.031508;0.968492;2.35652;31.5025;3428
31.75;-21.75;1980;1.65285;1.22201;0.177269;0.0301895;0.969811;3.42093;46.9689;4633
31.75;-22.75;1980;2.00656;1.36799;0.540915;0.0190684;0.890308;1.97446;25.7623;3399
31.25;-24.25;1981;1.35399;0.871403;0.306387;0.0181529;0.981847;2.39471;43.8351;2823
31.75;-24.25;1981;1.52109;1.11778;0.406971;0.0168995;0.983101;1.74928;36.005;2313
30.75;-25.25;1981;2.17735;2.07401;0.665968;0.00807341;0.513994;1.70112;14.563;2981
31.75;-24.75;1981;0.870063;0.626312;0.113738;0.0178432;0.958952;2.94863;44.6386;2618
30.75;-24.25;1981;1.22216;0.997005;0.244957;0.0275521;0.972448;3.29219;57.1586;2437
30.75;-24.75;1981;2.55823;2.08769;0.711075;0.00783396;0.499169;1.41245;12.0402;2626
31.75;-23.25;1981;0.581239;0.37825;0.187217;0.019255;0.739009;1.39128;23.7421;3212
32.25;-23.75;1981;1.19141;0.790985;0.212329;0.0136449;0.839626;2.20152;28.5193;2534
31.25;-23.75;1981;1.3959;0.949;0.129316;0.0223533;0.977647;2.41887;38.4849;2388
31.25;-24.75;1981;1.91122;1.37769;0.409954;0.0141142;0.904651;2.6741;40.6976;2894
32.25;-23.25;1981;1.45718;0.42046;0.308206;0.0239517;0.897636;2.06733;28.9779;3586
31.25;-22.25;1981;1.52756;0.957644;0.287654;0.0307354;0.896779;1.64572;25.0873;3252
32.25;-24.75;1981;1.09413;0.789571;0.133921;0.0141565;0.979985;2.77961;47.374;2908
31.25;-22.75;1981;1.53732;0.938698;0.32529;0.0370498;0.96295;2.02003;31.7217;2812
30.75;-22.75;1981;1.75755;1.17847;0.1868;0.0385273;0.961473;3.06187;49.3408;3233
31.25;-25.25;1981;2.0384;1.67269;0.624804;0.0318157;0.533435;2.54679;32.2209;2790
31.75;-25.25;1981;0.722476;0.626981;0.139291;0.0154258;0.984574;3.79295;53.5303;2483
32.25;-24.25;1981;1.166;0.783069;0.323007;0.0243231;0.933302;1.91398;35.4954;3175
32.25;-22.75;1981;1.76104;1.25995;0.340409;0.0262929;0.973707;2.55684;32.5978;3054
30.75;-21.75;1981;1.57748;1.0081;0.340515;0.0475047;0.914343;1.96713;28.04;3296
31.25;-21.75;1981;1.1626;0.831429;0.209768;0.0481996;0.9518;2.36103;35.4879;3654
30.75;-23.75;1981;1.4048;0.993765;0.280672;0.0358778;0.964122;2.74946;48.5091;5017
30.75;-23.25;1981;1.03672;0.717473;0.17962;0.0358714;0.964129;2.61951;47.4524;4709
32.25;-21.75;1981;1.48153;1.02913;0.296227;0.0408477;0.959152;2.81718;50.9424;5028
32.25;-22.25;1981;1.82276;1.05828;0.323748;0.0208491;0.979151;3.09592;41.5136;2873
31.25;-23.25;1981;0.8984;0.602073;0.143522;0.0296377;0.970362;2.0958;37.3329;3086
31.75;-23.75;1981;1.28379;0.896337;0.268542;0.0203846;0.857674;1.82513;30.9455;1955
30.75;-22.25;1981;1.52803;0.953381;0.290921;0.0390506;0.95728;2.22849;29.1954;3016
32.25;-25.25;1981;0.641785;0.496627;0.151015;0.0113308;0.988669;3.92164;58.7078;2526
31.75;-22.25;1981;1.44178;0.930918;0.23732;0.0314667;0.968533;2.30669;31.5025;3144
31.75;-21.75;1981;2.03334;1.4017;0.335864;0.0300876;0.969912;3.42093;46.9689;3897
31.75;-22.75;1981;1.45648;0.963052;0.301231;0.0189885;0.891999;1.68371;26.0293;3195
31.25;-24.25;1982;1.88792;1.18669;0.360482;0.0181253;0.981875;2.39471;43.8351;2808
31.75;-24.25;1982;2.36988;1.45668;0.452673;0.0167319;0.983268;1.70034;36.005;1973
30.75;-25.25;1982;2.7049;2.11712;0.693982;0.00795509;0.517369;1.70112;14.563;3003
31.75;-24.75;1982;1.91639;1.24202;0.338701;0.0175383;0.956625;2.94863;44.6386;2441
30.75;-24.25;1982;1.42396;0.885945;0.265805;0.0273655;0.972634;3.29219;57.519;2214
30.75;-24.75;1982;2.74684;2.12061;0.751412;0.00775832;0.500507;1.41245;12.0672;2600
31.75;-23.25;1982;2.88852;1.52122;0.663883;0.0191687;0.736299;1.39128;23.7421;2847
32.25;-23.75;1982;3.31076;1.79447;0.709694;0.013581;0.834795;2.20152;28.5193;2230
31.25;-23.75;1982;2.73253;1.66576;0.474316;0.0221561;0.977844;2.41887;38.4849;2769
31.25;-24.75;1982;2.27874;1.38138;0.485162;0.0141001;0.89684;2.6741;40.6976;2727
32.25;-23.25;1982;2.56257;1.289;0.594981;0.0238219;0.899389;2.06733;28.9779;3297
31.25;-22.25;1982;2.36977;1.31734;0.487518;0.0306342;0.895721;1.64572;25.0873;3081
32.25;-24.75;1982;2.21374;1.42473;0.389613;0.0139326;0.980209;2.77961;47.374;2769
31.25;-22.75;1982;3.20716;1.76905;0.555017;0.0368437;0.963156;2.02003;31.7217;2415
30.75;-22.75;1982;3.79639;2.2284;0.758166;0.038517;0.961483;3.06187;49.3408;3144
31.25;-25.25;1982;1.68922;1.199;0.509166;0.031765;0.52645;2.54679;31.6211;3045
31.75;-25.25;1982;1.2363;1.00576;0.158373;0.0153186;0.984681;3.7885;53.5303;3212
32.25;-24.25;1982;2.86369;1.62136;0.569283;0.024249;0.93311;1.91398;35.4954;2927
32.25;-22.75;1982;3.06228;1.8445;0.817097;0.0262113;0.973789;2.55684;32.5978;2901
30.75;-21.75;1982;2.3602;1.37062;0.477178;0.0472036;0.914037;1.96713;28.04;3605
31.25;-21.75;1982;1.61497;1.03996;0.332386;0.0480041;0.951996;2.36103;35.4879;3516
30.75;-23.75;1982;2.43499;1.58393;0.434769;0.035717;0.964283;2.74946;48.6584;5029
30.75;-23.25;1982;2.34171;1.4528;0.39329;0.0356336;0.964366;2.61951;47.4524;4966
32.25;-21.75;1982;1.93528;1.18366;0.436041;0.040703;0.959297;2.81718;51.005;4334
32.25;-22.25;1982;3.49219;1.93626;0.738058;0.0207233;0.979277;3.09592;41.5136;2478
31.25;-23.25;1982;2.47846;1.43467;0.46914;0.0295144;0.970486;2.0958;37.3329;2961
31.75;-23.75;1982;2.87844;1.74251;0.589387;0.0204139;0.857761;1.82513;30.9455;1834
30.75;-22.25;1982;2.55872;1.40343;0.481569;0.0391456;0.956605;2.22849;29.1954;2986
32.25;-25.25;1982;1.25888;0.903484;0.221477;0.0113706;0.988629;3.92164;58.7078;2305
31.75;-22.25;1982;2.4813;1.40237;0.50468;0.0314602;0.96854;2.30669;31.5025;2774
31.75;-21.75;1982;2.80038;1.57054;0.55709;0.0299717;0.970028;3.42093;46.9689;3583
31.75;-22.75;1982;2.41769;1.35143;0.574992;0.0188422;0.890529;1.68371;26.0293;2850
31.25;-24.25;1983;1.56356;1.03919;0.296132;0.0180688;0.981931;2.39471;43.8979;2515
31.75;-24.25;1983;1.35119;0.958453;0.284601;0.0165469;0.983453;1.6884;36.005;2021
30.75;-25.25;1983;2.72596;2.26625;0.706581;0.00789465;0.519031;1.70112;14.6014;2765
31.75;-24.75;1983;1.94197;1.51296;0.354159;0.0172941;0.95569;2.94863;44.6386;2463
30.75;-24.25;1983;1.26272;1.02586;0.206193;0.0271799;0.97282;3.29219;57.519;2127
30.75;-24.75;1983;3.24746;2.56404;0.881337;0.00765827;0.501941;1.33254;12.5402;2600
31.75;-23.25;1983;2.99184;1.76876;0.709452;0.019052;0.731732;1.3823;23.7421;2521
32.25;-23.75;1983;3.25926;2.00852;0.718051;0.013496;0.828227;2.20152;28.5193;2056
31.25;-23.75;1983;2.8623;1.81676;0.533393;0.0219421;0.978058;2.41887;38.4849;2674
31.25;-24.75;1983;2.80651;1.78241;0.625644;0.0140327;0.888214;2.6741;40.6976;2387
32.25;-23.25;1983;3.35616;2.04848;0.65311;0.0236773;0.899294;2.06733;28.9779;3054
31.25;-22.25;1983;3.1591;1.81279;0.640806;0.0305282;0.895184;1.64572;25.0873;3078
32.25;-24.75;1983;1.16065;0.944569;0.233785;0.0136577;0.9811;2.77961;47.374;2299
31.25;-22.75;1983;2.56527;1.31138;0.495354;0.0366717;0.963328;2.02003;31.7217;2546
31.25;-25.25;1983;2.59235;1.5739;0.610461;0.0316659;0.521491;2.54679;31.6211;2780
30.75;-22.75;1983;1.99916;1.38717;0.436561;0.0385075;0.961492;3.06187;49.3408;3396
31.75;-25.25;1983;1.36997;1.08398;0.224783;0.0151828;0.984817;3.7885;53.5303;2910
32.25;-24.25;1983;1.7785;1.22881;0.424261;0.0241614;0.932575;1.91398;35.4954;2843
32.25;-22.75;1983;2.35853;1.57114;0.47863;0.0261155;0.973884;2.55684;32.7363;2869
30.75;-21.75;1983;1.55655;1.00308;0.34298;0.0469072;0.914532;1.96713;28.04;3563
31.25;-21.75;1983;1.76187;1.24008;0.352893;0.0478107;0.952189;2.36103;35.4879;3473
30.75;-23.75;1983;1.0847;0.429116;0.234214;0.0355559;0.964444;2.74946;49.472;5761
30.75;-23.25;1983;2.3484;1.48186;0.442409;0.0354134;0.964587;2.61951;47.754;5313
32.25;-21.75;1983;1.41922;1.0535;0.291381;0.0405452;0.959455;2.81718;51.4851;4653
32.25;-22.25;1983;3.70345;2.47965;0.632253;0.020618;0.979382;3.09592;41.5136;2505
31.25;-23.25;1983;2.28297;1.48223;0.426392;0.029414;0.970586;2.0958;37.3329;2751
31.75;-23.75;1983;2.51034;1.68029;0.533532;0.0204152;0.857356;1.70271;30.9455;1695
32.25;-25.25;1983;0.8351;0.748226;0.15272;0.0114166;0.988583;3.92164;58.7078;2553
30.75;-22.25;1983;2.82588;1.62475;0.55179;0.0392636;0.95619;2.22849;29.1954;3034
31.75;-22.25;1983;3.10206;1.67779;0.53969;0.0314816;0.968518;2.30669;31.5025;2793
31.75;-21.75;1983;3.78266;2.51018;0.773895;0.0298516;0.970148;3.42093;46.9689;3709
31.75;-22.75;1983;1.82831;1.16699;0.394225;0.0187199;0.889681;1.68371;26.0293;2739
31.25;-24.25;1984;2.06386;1.42967;0.386882;0.0179323;0.982068;2.39471;43.8979;2277
31.75;-24.25;1984;1.86977;1.32812;0.370988;0.016392;0.983608;1.6884;36.005;1855
30.75;-25.25;1984;2.64522;1.93376;0.796704;0.00792043;0.520893;1.70112;14.6014;2457
31.75;-24.75;1984;2.20293;1.70092;0.479172;0.0172185;0.956508;2.94863;44.6386;2268
30.75;-24.25;1984;1.78504;1.33157;0.31299;0.0269668;0.973033;3.29219;57.519;2102
30.75;-24.75;1984;2.11586;2.09166;0.638135;0.00756347;0.504053;1.33254;12.5402;2373
31.75;-23.25;1984;3.59463;2.11052;0.993921;0.0189076;0.728983;1.3823;23.7421;2204
32.25;-23.75;1984;3.09608;1.60085;0.840541;0.0134719;0.822786;2.20152;28.5193;1911
31.25;-23.75;1984;2.41733;1.59614;0.561672;0.0217484;0.978252;2.41887;38.4849;2474
31.25;-24.75;1984;2.1839;1.68895;0.511025;0.0140039;0.879513;2.6741;40.6976;2168
32.25;-23.25;1984;3.24538;1.89322;0.831497;0.0235268;0.898381;2.06733;28.9779;2787
31.25;-22.25;1984;2.85219;1.71924;0.62452;0.0304497;0.896035;1.64572;25.0873;2911
32.25;-24.75;1984;2.08576;1.55881;0.520208;0.0133831;0.983071;2.77961;47.374;2348
31.25;-22.75;1984;2.1206;1.33437;0.405209;0.0365136;0.963486;2.02003;31.8325;2584
31.25;-25.25;1984;2.25978;1.57277;0.714644;0.0313887;0.517389;2.54679;31.6211;2499
30.75;-22.75;1984;2.23642;1.54355;0.503343;0.0385648;0.961435;3.06187;49.3408;3249
31.75;-25.25;1984;1.66481;1.11556;0.353724;0.0151234;0.984877;3.7885;53.5303;2983
32.25;-24.25;1984;1.73353;1.01475;0.41179;0.0241028;0.933878;1.91398;35.4954;2626
32.25;-22.75;1984;3.27158;2.01182;0.657495;0.0260313;0.973969;2.55684;32.7363;2762
30.75;-21.75;1984;1.77876;1.23036;0.362702;0.0465909;0.914611;1.96713;28.0617;3347
31.25;-21.75;1984;2.05258;1.48499;0.404598;0.0476337;0.952366;2.36103;35.4879;3234
30.75;-23.75;1984;1.93037;1.36532;0.380987;0.0354466;0.964553;2.74946;49.472;5583
30.75;-23.25;1984;1.91935;1.28884;0.460945;0.0351266;0.964873;2.61951;47.754;5639
32.25;-21.75;1984;1.79784;1.13045;0.334883;0.040418;0.959582;2.81718;51.9656;4755
32.25;-22.25;1984;3.69101;2.34566;0.655764;0.020528;0.979472;3.09592;41.5136;2441
31.25;-23.25;1984;2.05003;1.40653;0.402989;0.0293146;0.970685;2.0958;37.3329;2692
31.75;-23.75;1984;2.24732;1.55367;0.510337;0.0204469;0.857883;1.70271;30.9455;1585
32.25;-25.25;1984;1.76555;1.39983;0.441476;0.0114134;0.988587;3.92164;58.7078;2773
30.75;-22.25;1984;2.60149;1.57821;0.598466;0.0393534;0.955947;2.22849;29.1954;3181
31.75;-22.25;1984;3.39125;1.97133;0.631412;0.0315073;0.968493;2.30669;31.5158;2805
31.75;-21.75;1984;2.92216;2.36611;0.574682;0.0297495;0.970251;3.42093;46.9689;3567
31.75;-22.75;1984;1.91606;1.05785;0.383645;0.0186503;0.890697;1.68371;26.0293;2664
31.25;-24.25;1985;1.46636;0.982358;0.336157;0.0177644;0.982236;2.39471;43.8979;2243
31.75;-24.25;1985;1.20085;0.925463;0.229103;0.0162393;0.983761;1.72391;36.005;2155
