long;lat;year;c4_biomass;c3_biomass;dead_grass_biomass;savanna_tree_cover;forest_tree_cover;tree_leaf_biomass;tree_stem_biomass;trees_per_ha
31.25;-25.25;1979;2.5881;2.01012;0.627919;0.315343;0.339972;2.24222;17.6706;4376
32.25;-24.25;1979;2.33768;1.44467;0.835708;0.0466551;0.46041;1.73889;16.5458;3902
31.25;-24.25;1979;2.42949;1.40453;0.515495;0.0313532;0.913314;2.39964;40.3906;2018
31.25;-22.75;1979;3.19541;1.72817;0.357375;0.19606;0.0501331;1.46287;5.22364;4647
31.75;-25.25;1979;2.63953;1.80412;0.684304;0.0278178;0.647055;2.70066;33.4572;2354
31.25;-23.75;1979;3.04857;1.52244;0.936919;0.0869418;0.226313;1.21725;7.96889;3093
30.75;-25.25;1979;3.78246;2.64743;0.978881;0.259242;0.00428337;0.849373;4.79323;3759
30.75;-23.75;1979;3.89255;2.13143;0.255036;0.0993332;0.299468;1.5918;14.73;3055
30.75;-24.75;1979;3.89971;2.89769;1.16035;0.128932;0.00234835;0.652325;2.72998;3100
31.25;-24.75;1979;2.98308;1.92431;0.764112;0.274555;0.215742;1.57566;12.4425;3525
32.25;-23.25;1979;2.76936;1.59431;0.652563;0.272504;0.280281;1.5021;11.8459;4775
32.25;-22.75;1979;5.53603;2.66411;1.49008;0.318076;0.016935;1.99613;8.05579;5677
31.25;-22.25;1979;2.8482;1.52447;0.804832;0.240485;0.018189;1.55073;7.83878;5690
32.25;-21.75;1979;2.12457;1.13758;0.699029;0.0376204;0.46661;1.97665;20.2182;2753
30.75;-22.75;1979;3.58272;2.08844;0.97529;0.0469864;0.54433;2.14005;26.7008;1927
31.75;-24.75;1979;3.99984;2.20033;1.27968;0.0389145;0.388497;1.74329;19.3119;2517
31.25;-21.75;1979;3.2528;1.78636;0.431183;0.0290199;0.331059;1.24678;14.0818;2060
31.75;-23.25;1979;2.37992;1.24301;0.403604;0.182295;0.0839878;1.49247;6.76093;4150
31.75;-24.25;1979;3.14061;1.64028;1.31686;0.329535;0.00146484;1.90058;7.28656;5574
30.75;-24.25;1979;3.81889;2.02825;1.06787;0.153203;0.0739189;1.41215;7.88882;3212
32.25;-23.75;1979;2.71537;1.51739;0.816386;0.179895;0.0826333;1.65103;5.94769;4393
30.75;-21.75;1979;3.17651;1.67754;0.928016;0.202664;0.00285143;1.16492;4.33111;6621
30.75;-23.25;1979;2.2966;1.42394;0.329998;0.147985;0.496229;2.01334;17.6729;4513
32.25;-24.75;1979;2.40989;1.50658;0.656466;0.0119857;0.982385;2.61335;46.4068;3223
30.75;-22.25;1979;3.12798;1.74681;0.8965;0.277899;0.0521566;1.40703;6.36196;5547
31.75;-22.25;1979;2.5063;1.03598;0.736614;0.238947;0.0538677;1.52485;7.70587;4877
31.25;-23.25;1979;2.36174;1.43358;0.579174;0.194485;0.149102;1.40978;10.1785;4301
31.75;-23.75;1979;2.89613;1.61571;0.320092;0.125297;0.158193;1.78997;7.41833;2984
32.25;-25.25;1979;3.06056;1.98536;0.814451;0.0352232;0.432993;2.21532;25.3127;2415
31.75;-21.75;1979;0.947779;0.83901;0.285299;0.0402475;0.959753;3.33755;42.2114;4220
32.25;-22.25;1979;1.82547;0.944941;0.53559;0.124531;0.480024;2.42585;18.2893;3955
31.75;-22.75;1979;2.47495;1.38355;0.66756;0.203587;0.0591309;1.4077;5.4871;5290
31.25;-25.25;1980;3.274;2.47659;0.977191;0.321464;0.356481;2.24222;18.5885;4351
32.25;-24.25;1980;3.03721;1.86452;1.21822;0.0486185;0.489546;1.73889;17.3723;3980
31.25;-24.25;1980;3.01069;1.88156;0.802358;0.0312366;0.89749;2.39964;40.3906;2521
31.25;-22.75;1980;3.28204;1.89616;0.873247;0.198635;0.0473417;1.52298;5.22364;5073
31.75;-25.25;1980;3.48537;1.77049;1.12113;0.0280445;0.644069;2.70066;33.4572;2049
31.25;-23.75;1980;3.05768;1.83126;1.07734;0.0869094;0.221034;1.21725;7.96889;3198
30.75;-25.25;1980;4.00259;2.87216;1.22607;0.251271;0.00436631;0.849373;4.79323;4174
30.75;-23.75;1980;3.98718;1.96146;1.17797;0.0972459;0.282754;1.5918;14.73;3635
30.75;-24.75;1980;4.03663;3.14276;1.31285;0.128696;0.00231093;0.652325;2.72998;3263
31.25;-24.75;1980;4.11371;2.76486;1.32612;0.283221;0.230284;1.57566;12.7884;4141
32.25;-23.25;1980;2.2341;1.61617;0.748513;0.279735;0.294535;1.5021;12.5249;5169
32.25;-22.75;1980;3.36845;2.42369;1.35918;0.336553;0.0166622;1.99613;8.05579;6540
31.25;-22.25;1980;2.47281;1.43704;0.246324;0.229713;0.0146453;1.55073;5.6614;6016
32.25;-21.75;1980;2.43404;1.61644;0.829729;0.0372657;0.45544;1.97665;20.2182;3023
