place;year;1;2;3;4;5;6;7;8;9;10;11;12
skuk;1989;14.3;286.3;57.6;6.8;17.5;37.8;0.0;1.8;1.5;63.4;79.8;130.0
skuk;1989;19.8;20.1;19.4;14.2;10.6;8.1;6.3;9.3;12.0;15.7;17.9;19.1
skuk;1989;32.6;29.7;30.9;28.6;28.7;25.3;26.4;28.7;29.8;30.9;29.1;30.8
skuk;1990;84.6;20.5;69.9;43.6;1.7;1.7;0.6;9.3;0.2;56.0;22.2;152.9
skuk;1990;19.9;19.8;19.6;16.0;10.5;5.9;8.3;9.0;11.3;16.6;17.2;20.3
skuk;1990;32.5;31.0;32.2;29.5;27.7;27.5;26.3;26.3;28.8;30.6;31.7;31.0
skuk;1991;48.4;26.3;71.5;0.0;5.2;36.8;0.0;0.0;6.7;5.3;58.5;56.3
skuk;1991;21.1;21.1;19.5;13.6;10.7;7.5;5.8;8.7;15.5;18.0;19.1;19.6
skuk;1991;33.6;33.3;30.5;30.9;28.9;25.0;26.4;27.8;29.3;31.7;32.3;31.5
skuk;1992;33.2;35.8;24.5;9.2;8.3;0.3;0.0;1.6;0.0;22.5;136.9;163.1
skuk;1992;21.1;22.4;20.2;17.3;10.3;7.2;7.1;8.5;15.7;18.5;19.5;21.4
skuk;1992;34.8;35.9;33.3;32.8;30.1;27.5;26.6;27.1;31.1;31.9;31.5;33.6
skuk;1993;83.0;83.0;118.6;47.7;1.8;14.6;0.9;13.6;1.3;9.9;39.4;125.8
skuk;1993;21.0;21.2;19.4;17.5;12.2;7.0;9.0;9.4;13.8;18.3;18.9;20.5
skuk;1993;32.9;32.6;29.9;31.5;29.3;26.4;26.8;26.6;31.9;30.7;30.9;33.4
skuk;1994;76.4;7.8;60.5;9.8;13.6;0.1;6.0;4.2;10.4;55.5;3.1;74.3
skuk;1994;20.2;20.6;19.3;16.0;9.8;6.2;5.5;8.1;12.6;14.9;18.9;19.3
skuk;1994;31.0;31.9;32.7;30.2;28.6;26.7;25.2;26.5;29.5;27.8;32.9;32.1
skuk;1995;324.0;38.0;36.6;75.1;28.4;0.0;0.0;21.0;1.4;55.5;104.1;95.2
skuk;1995;20.8;20.8;19.8;15.8;12.2;5.9;6.8;10.3;13.7;18.9;19.1;19.3
skuk;1995;32.2;32.0;31.3;29.9;26.0;25.5;26.5;27.6;30.9;32.2;30.2;31.2
skuk;1996;173.2;218.4;58.1;27.4;36.4;5.9;11.1;29.4;1.9;20.2;50.9;64.3
skuk;1996;21.4;20.9;17.9;15.1;12.0;6.0;6.7;9.3;13.9;16.8;19.1;20.4
skuk;1996;31.2;30.2;29.3;27.5;26.7;26.1;24.4;25.8;31.1;32.0;32.6;33.0
skuk;1997;110.2;24.8;181.1;58.7;4.3;0.0;4.5;10.4;20.8;39.3;126.0;128.5
skuk;1997;21.1;21.0;20.2;14.1;9.4;4.1;6.9;9.5;15.3;15.7;18.3;19.9
skuk;1997;32.2;33.3;31.0;29.0;26.8;28.0;25.3;28.7;29.2;29.3;31.8;31.4
skuk;1998;114.3;13.4;8.3;30.3;1.2;0.0;5.3;0.2;20.8;90.5;173.9;187.1
skuk;1998;21.3;21.2;21.1;16.5;10.2;5.9;7.1;9.7;13.1;16.5;18.4;19.9
skuk;1998;32.3;33.1;34.8;32.0;30.3;28.3;26.3;27.9;29.8;28.7;29.7;30.1
skuk;1999;39.8;123.4;95.8;42.7;19.1;2.1;4.1;17.6;19.1;44.3;151.1;94.7
skuk;1999;20.9;20.4;20.2;15.7;11.3;5.3;6.9;8.2;12.2;14.4;19.2;20.4
skuk;1999;32.3;30.2;30.8;29.6;28.1;27.5;26.6;28.4;28.4;28.9;30.7;32.9
skuk;2000;112.4;425.0;185.2;54.6;11.4;8.3;3.0;0.0;33.1;12.9;175.1;94.6
skuk;2000;19.7;21.5;20.7;15.6;9.1;8.8;6.1;7.7;13.2;16.6;18.3;19.0
skuk;2000;29.4;29.1;29.8;27.4;26.1;25.9;25.6;27.9;28.6;29.7;29.4;32.4
skuk;2001;38.8;146.1;82.1;59.5;11.5;3.0;1.9;1.5;0.1;20.4;224.9;125.8
skuk;2001;19.2;20.8;19.7;17.2;11.0;6.1;6.2;9.4;12.6;16.9;19.9;20.1
skuk;2001;33.0;31.4;30.7;29.6;27.7;27.0;25.7;28.1;29.9;30.7;30.1;30.4
skuk;2002;78.1;8.8;77.6;27.7;1.0;5.9;0.0;1.3;5.4;51.6;26.5;41.5
skuk;2002;20.2;20.2;19.2;16.4;10.2;7.6;5.7;12.8;13.4;15.9;16.4;20.4
skuk;2002;33.6;32.3;33.1;31.4;30.0;26.1;27.2;28.2;29.9;31.5;30.3;32.6
skuk;2003;27.7;27.3;35.6;53.8;1.7;30.1;0.0;0.0;31.7;18.6;24.6;22.5
skuk;2003;20.6;21.8;20.1;17.4;12.7;10.6;7.1;9.7;13.1;17.3;19.2;21.2
skuk;2003;35.2;35.6;34.0;31.7;28.1;24.6;26.0;28.4;29.9;32.0;32.2;35.9
skuk;2004;208.2;152.8;85.2;60.0;0.6;1.3;36.9;6.3;33.4;36.2;235.4;149.4
skuk;2004;21.3;21.4;19.7;16.4;11.8;5.2;6.7;10.8;12.1;16.4;19.3;20.3
skuk;2004;32.8;31.8;29.6;28.9;28.4;25.6;24.9;28.4;29.2;31.3;33.0;32.9
skuk;2005;130.9;53.6;52.9;31.1;6.5;0.0;5.8;0.3;0.0;9.8;147.9;121.7
skuk;2005;21.9;20.7;18.6;16.2;12.0;8.0;6.9;12.0;13.5;16.9;19.5;18.4
skuk;2005;33.3;34.1;31.9;30.6;29.9;28.4;27.0;29.6;32.1;32.6;32.2;30.1
skuk;2006;145.3;195.1;194.6;0.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
skuk;2006;21.3;21.0;18.1;15.3;12.2;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
skuk;2006;31.7;32.3;28.7;29.0;26.1;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
skuk;2007;145.3;195.1;194.6;0.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
skuk;2007;21.3;21.0;18.1;15.3;12.2;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
skuk;2007;31.7;32.3;28.7;29.0;26.1;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
skuk;2008;145.3;195.1;194.6;0.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0;-99.0
