lat;lon;species;diameter;raster
-25.0087107754202;31.497093546221;sb;1.333802;12020
-25.0081318193381;31.4974698325551;sb;5.394951;12020
-25.0080296920797;31.4973944459324;sb;4.111734;12020
-25.0085074173872;31.4968282036171;sb;5.38796;12020
-25.0082678444866;31.497209383826;sb;5.190388;12020
-25.0083418459934;31.4974432905009;sb;3.693853;12020
-25.0082049345704;31.4970365595576;sb;5.115796;12020
-25.0078297152049;31.4966787127072;sb;4.283533;12020
-25.0079648510227;31.4970344062215;sb;3.513966;12020
-25.0084853702743;31.4967258046938;sb;3.802918;12020
-25.0084388902237;31.4966820869881;sb;1.399701;12020
-25.0082821926015;31.4967464424589;sb;2.645594;12020
-25.0086492980238;31.4968458158955;sb;1.075851;12020
-25.0083284188556;31.496813691039;sb;1.55626;12020
-25.0079090337976;31.4967608544276;sb;3.049244;12020
-25.0083519836722;31.4975527541616;sb;1.299285;12020
-25.0084106413085;31.4968457645588;sb;1.828601;12020
-25.0087005547428;31.4974480303691;sb;26.37828;12020
-25.008607345012;31.497052574322;ca;1.320163;12020
-25.0084619264092;31.4967002588842;ca;4.515941;12020
-25.0081294314242;31.4970224712624;ca;1.927407;12020
-25.0077802307052;31.4974331327732;ca;1.937078;12020
-25.008374833221;31.4969193670188;ca;2.973444;12020
-25.0079791791846;31.4968909198093;ca;4.213019;12020
-25.0082076020884;31.4968506880203;ca;3.63004;12020
-25.0079617965462;31.497098636104;ca;3.758535;12020
-25.0079415953287;31.4975694166778;ca;2.165167;12020
-25.0087077348397;31.4973645891206;ca;1.034248;12020
-25.0086363783163;31.4974443861133;ca;1.827159;12020
-25.0085589250487;31.4969402280933;ca;5.307034;12020
-25.0086849898562;31.4975861850433;ca;1.203782;12020
-25.0078375464434;31.4969668086805;ca;1.45398;12020
-25.0086684147101;31.497280591745;ca;1.62762;12020
-25.0084518397519;31.4974409602349;ca;2.498207;12020
-25.0078225756542;31.4970064740205;ca;3.578018;12020
-25.0084018556532;31.4974576453736;ca;5.985877;12020
-25.0078741375104;31.4969961160219;ca;2.249496;12020
-25.0085541155932;31.4974746075254;ca;3.145245;12020
-25.0084702179817;31.4971501092974;ca;2.022316;12020
-25.0079427622852;31.4973132555826;ca;5.412994;12020
-25.008210965659;31.4973606529534;ca;5.019548;12020
-25.0082201462891;31.4973241978524;ca;2.673484;12020
-25.0083793905923;31.4972495882016;ca;1.530611;12020
-25.0086737755613;31.4968312206479;ca;5.346686;12020
-25.0078861472378;31.4974228567603;ca;2.626517;12020
-25.0078135396582;31.4971633981051;ca;1.428311;12020
-25.0084255390114;31.4973438252959;ca;4.466352;12020
-25.0086535857286;31.4971260012738;ca;5.54623;12020
-25.0077811020681;31.4967466021378;ca;5.541426;12020
-25.0081675008743;31.4975637826138;ca;2.292855;12020
-25.0078811636641;31.4974927816375;ca;3.82035;12020
-25.0087163798271;31.4968762554145;ca;3.486502;12020
-25.0085498749726;31.4975101718776;ca;5.455047;12020
-25.0083088028797;31.4973365727195;ca;4.80274;12020
-25.0078269960323;31.4973806281097;ca;3.776406;12020
-25.008262090615;31.4971708417855;ca;5.377595;12020
-25.0083209433871;31.4970983369315;ca;1.537869;12020
-25.0086329941423;31.4974182318632;ca;2.1895;12020
-25.0084369333894;31.4969596885059;ca;4.211114;12020
-25.0084295851368;31.4970574901675;ca;3.640999;12020
-25.0081988661837;31.4971021511406;ca;2.701897;12020
-25.0086184664179;31.4970917276445;ca;4.300444;12020
-25.0082501932865;31.4971240726656;ca;5.652325;12020
-25.0085369086811;31.497249403164;ca;3.002643;12020
-25.0087155398296;31.4974546943176;ca;2.382959;12020
-25.0080813489416;31.4973735011362;ca;1.800437;12020
-25.0083196642581;31.4971319495177;ca;4.788555;12020
-25.0078910725765;31.4974917723168;ca;3.402424;12020
-25.0084611024118;31.4973206346171;ca;2.440766;12020
-25.0079957274786;31.4974429856191;ca;5.980633;12020
-25.0081292792312;31.4972151327765;ca;1.343194;12020
-25.0080565963868;31.4971851055078;ca;4.29266;12020
-25.0085394406994;31.4976237286583;ca;4.113176;12020
-25.0082861655247;31.4969208362501;ca;5.401926;12020
-25.0078748926811;31.4975015633939;ca;5.786128;12020
-25.0082935755229;31.4972479018407;ca;5.024174;12020
-25.008612306147;31.4967818440192;ca;4.610272;12020
-25.0084143632673;31.4969215881687;ca;2.336616;12020
-25.0080512179867;31.4975364392809;ca;3.064943;12020
-25.0083528479777;31.4975791407577;ca;2.119635;12020
-25.0083469586959;31.4974454638443;ca;2.791399;12020
-25.0077890605533;31.4967104568985;ca;3.671613;12020
-25.0085833330057;31.4969582761744;ca;1.228289;12020
-25.0086473642635;31.4975664283657;ca;1.926494;12020
-25.0086169710152;31.497455827818;ca;4.125827;12020
-25.0084596269287;31.4970219993341;ca;1.427394;12020
-25.0079932873449;31.4972547552402;ca;5.678799;12020
-25.0079061522041;31.4968805082;ca;3.565261;12020
-25.0086920378223;31.4972731293798;ca;5.486934;12020
-25.0086003133158;31.4967053867763;ca;2.215818;12020
-25.0086267319362;31.497561742253;ca;3.146237;12020
-25.0080960674902;31.4968662319071;ca;1.121871;12020
-25.0086167180977;31.4975859630776;ca;1.831003;12020
-25.0079294269661;31.4968666534648;ca;2.84386;12020
-25.0080210474752;31.4971841148589;ca;3.539871;12020
-25.0081300958872;31.4971230884803;ca;1.284995;12020
-25.0081189997964;31.4969610474197;ca;1.452839;12020
-25.0082160348513;31.4974927902512;ca;2.908992;12020
-25.0086890849119;31.4971844232143;ca;1.697652;12020
-25.0080199879795;31.496894226243;ca;3.272089;12020
-25.0080799458284;31.4972714589744;ca;3.960906;12020
-25.0077671426254;31.4971956349963;ca;4.113833;12020
-25.0080718957149;31.4972474981804;ca;2.806033;12020
-25.0084464745465;31.4967293114813;ca;4.308696;12020
-25.0081596176238;31.4967530586951;ca;4.317117;12020
-25.0085072057577;31.4970079233393;ca;5.579025;12020
-25.0081419215844;31.4966860429523;ca;5.432185;12020
-25.0085722605234;31.4969836433819;ca;2.174953;12020
-25.008621783601;31.4969131750793;ca;2.807649;12020
-25.0078610101794;31.4966752098802;ca;4.806533;12020
-25.0082478832491;31.49699932487;ca;5.31053;12020
-25.0079705313752;31.4974793020441;ca;2.184299;12020
-25.0085462445619;31.4970118387457;ca;4.253461;12020
-25.0078607903317;31.4975422208388;ca;1.650695;12020
-25.0085486397699;31.4973351234515;ca;4.407812;12020
-25.0086153991167;31.4973272513891;ca;1.947049;12020
-25.0078834329841;31.4970233223282;ca;3.450737;12020
-25.0078879512166;31.4972699799342;ca;1.961191;12020
-25.0082317349371;31.4973203287438;ca;2.191324;12020
-25.0079637484964;31.497545251631;ca;2.861656;12020
-25.008666627849;31.4975946741594;ca;3.235724;12020
-25.0080903979834;31.4975954922977;ca;5.14795;12020
-25.0084791124633;31.497141399581;ca;5.358346;12020
-25.0078014961987;31.4974338890481;ca;1.828276;12020
-25.0078988665196;31.4966819435367;ca;4.236567;12020
-25.0080716840765;31.4973649492023;ca;5.97335;12020
-25.0077658149459;31.4975005525743;ca;4.489777;12020
-25.0080029830209;31.4973020425846;ca;5.402893;12020
-25.0078928096287;31.4972347469184;ca;3.906641;12020
-25.0084010508033;31.4969467838254;ca;5.632616;12020
-25.0080507820623;31.4976034247661;ca;3.713239;12020
-25.0082546400367;31.4973928776761;ca;3.376922;12020
-25.0077615501534;31.4975160661568;ca;2.721705;12020
-25.0081301149669;31.4976009704387;ca;5.058359;12020
-25.008403308978;31.4970785368975;ca;3.290501;12020
-25.0082448067765;31.4973248266435;ca;2.971858;12020
-25.0085210369142;31.4973935570086;ca;4.745267;12020
-25.0077683307591;31.4976043611298;ca;2.935707;12020
-25.0086197753203;31.4970256068241;ca;5.681144;12020
-25.0084782503944;31.496867360172;ca;5.028707;12020
-25.0084783856431;31.4972454021543;ca;4.383294;12020
-25.0083007808729;31.4975292365005;ca;3.660878;12020
-25.0080562088149;31.4970069621727;ca;5.975571;12020
